"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"04 Holdings LLC","220 Ivybrook Ln","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Keith Olson","Principal",,2,70300,"Holding and Other Investment O",43,"Holding Companies, Nec",
"A & F Holdings Inc","40 Cap Rock Way","Colorado Springs","CO",80919,"El Paso",,2147483647,,"Anchie Fisco","President",,2,71760,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Ajvj Inc","2430 Platte Pl","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Antonio Bowen","President",,4,215600,"Holding and Other Investment O",43,"Holding Companies, Nec",
"B & B Holdings","3160 Frazier Ln","Colorado Springs","CO",80922,"El Paso",,2147483647,,,,,1,635040,"Holding and Other Investment O",43,"Holding Companies, Nec",
"B&B Holdings LLC","3160 Frazier Ln","Colorado Springs","CO",80922,"El Paso",,2147483647,,,,,2,68310,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Century Venture Corporation","213 N Union Blvd","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Thomas Rackerby","Chairman of the Board",,3,108900,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Cheyenne Holdings LLC","573 Vista Grande Dr","Colorado Springs","CO",80906,"El Paso",,2147483647,,"Adrian Sticca","Principal",,2,70380,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Cig LLC","3655 Out West Dr","Colorado Springs","CO",80910,"El Paso",,2147483647,,"Terry Howerter","Controller",,2,0,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Colorado Materials Holding","31 N Tejon St # 400","Colorado Springs","CO",80903,"El Paso","Male",2147483647,7198848801,"Ray Marshall","Owner",,5,3110400,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Corundum Holdings LLC","111 S Tejon St Ste 501","Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,2,66240,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Crainiomandibular Holdings LLC","685 Citadel Dr E Ste 300","Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,2,66930,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Cromer & Co LLC","2756 Oro Blanco Dr","Colorado Springs","CO",80917,"El Paso","female",2147483647,,"Barbara Reinhard","President",,3,111100,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Elder Holdings LLC","7605 Kelly Ln","Colorado Springs","CO",80919,"El Paso","male",2147483647,,"Thomas Elder","Principal",,2,74740,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Five West Holdings Ltd","1212 Motor City Dr","Colorado Springs","CO",80906,"El Paso",,2147483647,,,,,2,66930,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Hawk Holdings LLC","308 E Willamette Ave","Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,2,0,"Holding and Other Investment O",43,"Holding Companies, Nec",
